"__Student","Student","Course","Course Limit","Controlling Course","Primary","Priority","Alternativity","Enrolled","Credits","Sections","Preferred Sections","Required Sections","Instructional Method","Preferred Instructional Methods","Required Instructional Methods","Critical"
"209504449",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"209504449",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"213547354",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"215028301",""," C5","","","Yes","1","0","Yes","0.0","S12","","","","","","No"
"215033901",""," C17","","","Yes","1","0","Yes","0.0","S39","","","","","","No"
"216003709",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"216009174",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"216009174",""," C17","","","Yes","2","0","Yes","0.0","S40","","","","","","No"
"216021542",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"216021542",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"216021874",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"216021874",""," C19","","","Yes","2","0","Yes","0.0","S42","","","","","","No"
"216040177",""," C5","","","Yes","1","0","Yes","0.0","S10","","","","","","No"
"216040805",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"216049509",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217002685",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"217007017",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217007017",""," C17","","","Yes","2","0","Yes","0.0","S40","","","","","","No"
"217008939",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"217008939",""," C17","","","Yes","2","0","Yes","0.0","S39","","","","","","No"
"217011165",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217012077",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"217013326",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217014084",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"217014127",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"217014548",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217015262",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"217015262",""," C17","","","Yes","2","0","Yes","0.0","S40","","","","","","No"
"217016469",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"217017329",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"217025804",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"218011130",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218019270",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218019394",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218020104",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218047002",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218050371",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"218059360",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"218059596",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"218064520",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"218065922",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"218084397",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"219001696",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"219003271",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"219005030",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"219006005",""," C19","","","Yes","1","0","Yes","0.0","S43","","","","","","No"
"220072959",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220073643",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220086597",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220090592",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220096568",""," C17","","","Yes","1","0","Yes","0.0","S37","","","","","","No"
"220097845",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220099231",""," C17","","","Yes","1","0","Yes","0.0","S39","","","","","","No"
"220103649",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220107721",""," C16","","","Yes","1","0","Yes","0.0","S36","","","","","","No"
"220110855",""," C17","","","Yes","1","0","Yes","0.0","S38","","","","","","No"
"220112040",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"220112256",""," C19","","","Yes","1","0","Yes","0.0","S42","","","","","","No"
"220120001",""," C8","","","Yes","1","0","Yes","0.0","S21","","","","","","No"
"220120001",""," C11","","","Yes","2","0","Yes","0.0","S26","","","","","","No"
"220120001",""," C19","","","Yes","3","0","Yes","0.0","S43","","","","","","No"
"220120001",""," C16","","","Yes","4","0","Yes","0.0","S36","","","","","","No"
